id,parent_id,suburb_4th,suburb_3rd,suburb_2nd,suburb_1st,city_id,city_name,majorlocal,majorloc_1,NZdep_mean,NZdep_quant_mean
3139,0,Lake Catherine,NA,NA,NA,0,NA,0,NA,971,5
3262,0,Lake Kahuparere,NA,NA,NA,0,NA,0,NA,1115,9
3263,0,Lake Kaiiwi,NA,NA,NA,0,NA,0,NA,1132,9
3140,0,Lake Cecil,NA,NA,NA,0,NA,0,NA,NA,NA
3141,0,Lake Chalice,NA,NA,NA,0,NA,0,NA,992,5.999999999999999
3144,0,Lake Christabel,NA,NA,NA,0,NA,0,NA,1000.0000000000001,7
3145,0,Lake Clara,NA,NA,NA,0,NA,0,NA,970,5
3264,0,Lake Kaikokopu,NA,NA,NA,0,NA,0,NA,990,6
3142,0,Lake Chamberlain,NA,NA,NA,0,NA,0,NA,NA,NA
3143,0,Lake Charles,NA,NA,NA,0,NA,0,NA,954,4
3146,0,Lake Clark,NA,NA,NA,0,NA,0,NA,NA,NA
3147,0,Lake Clarke,NA,NA,NA,0,NA,0,NA,1008,6.999999999999999
3152,0,Lake Colwell,NA,NA,NA,0,NA,0,NA,NA,NA
3153,0,Lake Constance,NA,NA,NA,0,NA,0,NA,983.0000000000001,6.000000000000001
3148,0,Lake Clearwater,NA,NA,NA,0,NA,0,NA,932,3
3149,0,Lake Cobb,NA,NA,NA,0,NA,0,NA,978,6
3150,0,Lake Colenso (Kokopunui),NA,NA,NA,0,NA,0,NA,940,4
3151,0,Lake Coleridge,NA,NA,NA,0,NA,0,NA,971,5
3154,0,Lake Cook,NA,NA,NA,0,NA,0,NA,954,4
3265,0,Lake Kaitawa,NA,NA,NA,0,NA,0,NA,1307.9823011514245,9.999782168017532
3168,0,Lake Dora,NA,NA,NA,0,NA,0,NA,NA,NA
3169,0,Lake Douglas,NA,NA,NA,0,NA,0,NA,1008,7
3170,0,Lake Dudding,NA,NA,NA,0,NA,0,NA,1009.9999999999999,7.000000000000001
3207,0,Lake Guyon,NA,NA,NA,0,NA,0,NA,918,2
3171,0,Lake Duncan,NA,NA,NA,0,NA,0,NA,NA,NA
3172,0,Lake Dunstan,NA,NA,NA,0,NA,0,NA,906.5385689138446,1.979695960545796
3173,0,Lake E,NA,NA,NA,0,NA,0,NA,902,2
3174,0,Lake Earnshaw,NA,NA,NA,0,NA,0,NA,NA,NA
3175,0,Lake Echo,NA,NA,NA,0,NA,0,NA,903.4850697920743,1.8277182738328195
3176,0,Lake Eggeling,NA,NA,NA,0,NA,0,NA,1008,7
3212,0,Lake Hamer,NA,NA,NA,0,NA,0,NA,1008,7
3213,0,Lake Hankinson,NA,NA,NA,0,NA,0,NA,NA,NA
3178,0,Lake Ellery,NA,NA,NA,0,NA,0,NA,1008,7
3179,0,Lake Elmer,NA,NA,NA,0,NA,0,NA,1062,8
3180,0,Lake Elterwater,NA,NA,NA,0,NA,0,NA,981,6
3182,0,Lake Emma,NA,NA,NA,0,NA,0,NA,932,3
3183,0,Lake Erskine,NA,NA,NA,0,NA,0,NA,924.0000000000001,3
3184,6519,Lake Esau,NA,NA,NA,0,NA,0,NA,NA,NA
3185,0,Lake Eva,NA,NA,NA,0,NA,0,NA,NA,NA
3186,0,Lake Evelyn,NA,NA,NA,0,NA,0,NA,971,5
3187,0,Lake Eyles,NA,NA,NA,0,NA,0,NA,NA,NA
3188,0,Lake Fergus,NA,NA,NA,0,NA,0,NA,923.9999999999999,3
3189,0,Lake Fiddle,NA,NA,NA,0,NA,0,NA,1062,8
3190,0,Lake Florence,NA,NA,NA,0,NA,0,NA,991,6
3191,0,Lake Forest,NA,NA,NA,0,NA,0,NA,954,4
3192,0,Lake Forster,NA,NA,NA,0,NA,0,NA,NA,NA
3193,0,Lake Forsyth (Wairewa),NA,NA,NA,0,NA,0,NA,903.170495595568,1.3013768368665464
3266,0,Lake Kaiwai,NA,NA,NA,100044,Kawakawa,100044,Kawakawa,1129.6358275238088,9.005211701014826
3194,0,Lake Fraser,NA,NA,NA,0,NA,0,NA,NA,NA
3195,0,Lake Freeman,NA,NA,NA,0,NA,0,NA,NA,NA
3196,0,Lake Gault,NA,NA,NA,0,NA,0,NA,984,6
3197,0,Lake George,NA,NA,NA,0,NA,0,NA,995.9999999999999,6
3203,0,Lake Grassmere / Kapara Te Hau,NA,NA,NA,0,NA,0,NA,981,6
3214,0,Lake Hanlon,NA,NA,NA,0,NA,0,NA,1062,8
3204,0,Lake Grave,NA,NA,NA,0,NA,0,NA,NA,NA
3205,0,Lake Greaney,NA,NA,NA,0,NA,0,NA,1008,7.000000000000001
3206,0,Lake Gunn,NA,NA,NA,0,NA,0,NA,923.9999999999999,3
4324,8575,Goat Island,NA,NA,NA,0,NA,0,NA,937,3
3208,0,Lake Hakanoa,NA,NA,NA,100036,Huntly,100036,Huntly,964.636771834346,5.077215568823539
3209,0,Lake Hakapoua,NA,NA,NA,0,NA,0,NA,NA,NA
3210,0,Lake Half,NA,NA,NA,0,NA,0,NA,1093,9
3211,0,Lake Hall,NA,NA,NA,0,NA,0,NA,NA,NA
3215,0,Lake Harihari,NA,NA,NA,0,NA,0,NA,1011,6.999999999999999
3216,0,Lake Harris,NA,NA,NA,0,NA,0,NA,926,3
3217,0,Lake Haupiri,NA,NA,NA,0,NA,0,NA,979,6
3322,0,Lake Mangahia,NA,NA,NA,0,NA,0,NA,929.0000000000001,3
3224,0,Lake Hector,NA,NA,NA,0,NA,0,NA,NA,NA
3233,0,Lake Hilda,NA,NA,NA,0,NA,0,NA,NA,NA
3234,0,Lake Hinemaiaia,NA,NA,NA,0,NA,0,NA,NA,NA
3242,0,Lake Humuhumu,NA,NA,NA,0,NA,0,NA,1115,9
3235,0,Lake Hochstetter,NA,NA,NA,0,NA,0,NA,965,5
3236,0,Lake Hope,NA,NA,NA,0,NA,0,NA,877,1
3237,0,Lake Horizon,NA,NA,NA,0,NA,0,NA,NA,NA
3238,0,Lake Horotea,NA,NA,NA,0,NA,0,NA,NA,NA
3239,0,Lake Horowhenua,NA,NA,NA,0,NA,0,NA,1044,8
3240,0,Lake Hotoananga,NA,NA,NA,100144,Ngaruawahia,100144,Ngaruawahia,920,3
3241,0,Lake Howden,NA,NA,NA,0,NA,0,NA,924,3
3243,0,Lake Huritini,NA,NA,NA,0,NA,0,NA,953.9999999999999,4
3244,0,Lake Hyslop,NA,NA,NA,0,NA,0,NA,NA,NA
3245,0,Lake Ianthe / Matahi,NA,NA,NA,0,NA,0,NA,991.0000000000001,6
3246,0,Lake Iceberg,NA,NA,NA,0,NA,0,NA,NA,NA
3247,0,Lake Iceberg,NA,NA,NA,0,NA,0,NA,NA,NA
3248,0,Lake Ida,NA,NA,NA,0,NA,0,NA,971,5
3249,0,Lake Ida,NA,NA,NA,0,NA,0,NA,962.0000000000001,5
3253,0,Lake Janet,NA,NA,NA,0,NA,0,NA,921,3
3254,0,Lake Jaquiery,NA,NA,NA,0,NA,0,NA,NA,NA
3255,0,Lake Jasper,NA,NA,NA,100204,Seddon,100204,Seddon,896,1
3250,0,Lake Innes,NA,NA,NA,0,NA,0,NA,NA,NA
3251,0,Lake Ione,NA,NA,NA,0,NA,0,NA,NA,NA
3252,0,Lake Isobel,NA,NA,NA,0,NA,0,NA,863.0000000000001,1
3267,0,Lake Kakapo,NA,NA,NA,0,NA,0,NA,NA,NA
3269,0,Lake Kanono,NA,NA,NA,0,NA,0,NA,1115,9
3270,0,Lake Kapoai,NA,NA,NA,0,NA,0,NA,1016.0000000000001,7
3271,0,Lake Karaka,NA,NA,NA,0,NA,0,NA,992.9999999999999,6
3272,0,Lake Karaka,NA,NA,NA,0,NA,0,NA,1115,9
3273,0,Lake Karangata,NA,NA,NA,0,NA,0,NA,992,5.999999999999999
3327,0,Lake Mantle,NA,NA,NA,0,NA,0,NA,NA,NA
3268,0,Lake Kaniere,NA,NA,NA,0,NA,0,NA,990.9871588424426,5.999486353697699
3274,0,Lake Karoro / Mathews,NA,NA,NA,0,NA,0,NA,1115,9
3276,0,Lake Kaurapataka,NA,NA,NA,0,NA,0,NA,991,6.000000000000001
3277,0,Lake Kawaupaka,NA,NA,NA,0,NA,0,NA,940.9999999999999,4
3278,0,Lake Kereta,NA,NA,NA,0,NA,0,NA,993,6
3279,0,Lake Kihona,NA,NA,NA,0,NA,0,NA,1245,10
3280,0,Lake Killarney,NA,NA,NA,100101,Takaka,100101,Takaka,1031,8
3281,0,Lake Kimihia,NA,NA,NA,100036,Huntly,100036,Huntly,973,5
3310,0,Lake Luna,NA,NA,NA,0,NA,0,NA,863,1
3282,0,Lake Kini,NA,NA,NA,0,NA,0,NA,984,6.000000000000001
3283,0,Lake Kiriopukae,NA,NA,NA,0,NA,0,NA,1122,9
3284,0,Lake Kirkpatrick,NA,NA,NA,0,NA,0,NA,863,1
3285,0,Lake Kiwi,NA,NA,NA,0,NA,0,NA,NA,NA
3286,0,Lake Kohangapiripiri,NA,NA,NA,100050,Lower Hutt,100050,Lower Hutt,989,6.000000000000001
3287,0,Lake Kohangatera,NA,NA,NA,100050,Lower Hutt,100050,Lower Hutt,989,5.999999999999999
3288,0,Lake Kohata,NA,NA,NA,0,NA,0,NA,1052,8
3311,0,Lake Luxmore,NA,NA,NA,0,NA,0,NA,888.9999999999999,1
3290,0,Lake Kopuera,NA,NA,NA,0,NA,0,NA,1030,8
3291,0,Lake Koputara,NA,NA,NA,0,NA,0,NA,989,6
3292,0,Lake Koraha,NA,NA,NA,0,NA,0,NA,1032,8
3293,0,Lake Koromatua,NA,NA,NA,0,NA,0,NA,929,3
3294,0,Lake Kuratau,NA,NA,NA,0,NA,0,NA,1018,7
3312,0,Lake Lyes,NA,NA,NA,0,NA,0,NA,1000,7
4337,8575,Groper Island,NA,NA,NA,0,NA,0,NA,937,3
3295,0,Lake Kuwakatai,NA,NA,NA,0,NA,0,NA,993,6
3296,0,Lake Laffy,NA,NA,NA,0,NA,0,NA,NA,NA
3297,0,Lake Laura,NA,NA,NA,0,NA,0,NA,928,3
3298,0,Lake Law,NA,NA,NA,0,NA,0,NA,1008,7
3299,0,Lake Leeb,NA,NA,NA,0,NA,0,NA,1008.0000000000001,7.000000000000001
3300,0,Lake Letitia,NA,NA,NA,0,NA,0,NA,970.9999999999999,5
3301,0,Lake Lilian,NA,NA,NA,0,NA,0,NA,971,5
3302,0,Lake Lillie,NA,NA,NA,0,NA,0,NA,978,5.999999999999999
3306,0,Lake Lois,NA,NA,NA,0,NA,0,NA,NA,NA
3313,0,Lake Lyndon,NA,NA,NA,0,NA,0,NA,971,5
3307,0,Lake Louise,NA,NA,NA,0,NA,0,NA,NA,NA
3308,0,Lake Lucille,NA,NA,NA,0,NA,0,NA,NA,NA
3309,0,Lake Lucy,NA,NA,NA,0,NA,0,NA,NA,NA
3315,0,Lake Macarthur,NA,NA,NA,0,NA,0,NA,NA,NA
3316,0,Lake Mackenzie,NA,NA,NA,0,NA,0,NA,NA,NA
3318,0,Lake Mahinapua,NA,NA,NA,0,NA,0,NA,952.0000000000001,4
3319,0,Lake Mahinerangi,NA,NA,NA,0,NA,0,NA,1004.9975713870256,6.999891256135474
3317,0,Lake Mackinnon,NA,NA,NA,0,NA,0,NA,NA,NA
3320,0,Lake Mainwaring,NA,NA,NA,0,NA,0,NA,NA,NA
3321,0,Lake Man,NA,NA,NA,0,NA,0,NA,918,2
3723,0,Omanuka Lagoon,NA,NA,NA,100217,Tangimoana,100217,Tangimoana,986,6
3323,0,Lake Mangakaware,NA,NA,NA,0,NA,0,NA,916,2
3324,0,Lake Mangamahoe,NA,NA,NA,0,NA,0,NA,953,4
3325,0,Lake Mangatutara,NA,NA,NA,0,NA,0,NA,1172,10
3326,0,Lake Mangawhio,NA,NA,NA,0,NA,0,NA,979,6
3328,0,Lake Manuwai,NA,NA,NA,0,NA,0,NA,957.7573294439319,4.443672809204981
3332,0,Lake Maratoto,NA,NA,NA,100214,Ohaupo,100214,Ohaupo,959.0000000000001,5
3354,0,Lake Mckellar,NA,NA,NA,0,NA,0,NA,926,3
3355,0,Lake Mckerrow / Whakatipu Waitai,NA,NA,NA,0,NA,0,NA,NA,NA
3329,0,Lake Mapourika,NA,NA,NA,0,NA,0,NA,1007.9999999999999,7.000000000000001
3330,0,Lake Maraetai,NA,NA,NA,0,NA,0,NA,1178.0581728351383,9.875199524552585
